product_key,product_code,company_key,unit,tax_pct,reorder_level,src_report,src_year,import_batch_id,processed_at,record_quality,quality_flags
3298296883783265,(GILLETTE REGULAR SHAVING FOAM,3049919541420692.0,1,5.0,,dim_product,,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
4165802074256188,(GODREJ E-SQUIRE SAFE-SPL - Qt,3049919541420692.0,1,5.0,,dim_product,,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
4276791065262206,(GODREJ GOOD KNIGHT COMBI-DSK,3049919541420692.0,1,5.0,,dim_product,,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
4167877231386633,(GODREJ HAND WASH(750ML)-LST -,3049919541420692.0,1,5.0,,dim_product,,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
4316589822876193,(GROOMING KIT(BOMBAY SHAVING)-,3049919541420692.0,1,5.0,,dim_product,,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
704861241779643,(HANSAPLAST(100PCS)-SPL - Qty,3049919541420692.0,1,5.0,,dim_product,,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
2642573162409035,(JAMA LOCK (HARRISON)-SPL - QTY - 1 ,3049919541420692.0,1,5.0,,dim_product,,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
288335567567283,(JAYPEE KOFIKA COFFEE SET-SPL - ,3049919541420692.0,1,5.0,,dim_product,,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
3489361859134800,(JIYO SCISSOR SET OF 2PCS-SPL - QTY - 1 ,3049919541420692.0,1,5.0,,dim_product,,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
925699227496154,(JOHN PLAYER VEST (JVT001)-SPL - QTY - 1 [,3049919541420692.0,1,5.0,,dim_product,,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
2232411872191028,(JUMBO CHOPPER(ANKUR)-SPL - Qt,3049919541420692.0,1,5.0,,dim_product,,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
3371617857183069,(KANGARO STAPLER(HD-10D)-SPL -,3049919541420692.0,1,5.0,,dim_product,,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
2387057488447572,(LEE COOPER SOCKS SET (2 PAIR)-SPL - QTY - 4),3049919541420692.0,1,5.0,,dim_product,,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
2822745443084426,(LUNCH BOX ECO FRESH(TRUEWARE),3049919541420692.0,1,5.0,,dim_product,,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
